id,first_name,last_name,area,position,hiring_date,email,phone,state,city
FS-1,Luis Manuel,Polanco Balcï¿½ï,direccion general,CEO,30/06/2017,luis.polanco@fstack.com.mx,2224583695,Puebla,Puebla
FS-2,Luis,Conde Rodrï¿½ï¿,frontend director,CTO,30/06/2017,luis.conde@fstack.com.mx,2225639874,Puebla,Puebla
FS-3,Rebeca,Rubio,backend,backend director,01/07/2021,rebeca.rubio@fstack.com.mx,2226696053,Puebla,Puebla
FS-4,Luis Miguel,ýguila,UX/UI,UX/UI director,02/07/2021,luis.aguila@fstack.com.mx,2227752232,Puebla,Puebla
FS-5,Daniel,Cinto,mobile,mobile director,03/07/2021,daniel.ainto@fstack.com.mx,2228808411,Puebla,Puebla
FS-6,ýngel,Franco,project management,project management director,04/07/2021,angel.aranco@fstack.com.mx,2229864590,Puebla,Puebla
FS-7,Jonathan,Hernï¿½ï¿,marketing,marketing director,05/07/2021,jonathan.aernandez@fstack.com,2230920769,Puebla,Puebla
FS-8,Fernanda,Soto,RH,Director of Human Talent Management,06/07/2021,fernanda.aoto@fstack.com.mx,2231976948,Puebla,Puebla
FS-9,Alexis Jonathan,Sosa Barranco,backend,developer,07/07/2021,alexis.aarranco@fstack.com.mx,2233033127,Puebla,Puebla
FS-10,Alonso,Valle,UX/UI,designer,08/07/2022,alonso.aalle@fstack.com.mx,2234089306,Puebla,Puebla
FS-11,Carlos Efraim,Bravo Sanchez,backend,developer,09/07/2022,carlos.aanchez@fstack.com.mx,2235145485,Puebla,Puebla
FS-12,Carlos Noe,Salazar Barajas,frontend,developer,10/07/2022,carlos.aarajas@fstack.com.mx,2236201664,Puebla,Puebla
FS-13,Damaris L.,Quiroz Cuautle,frontend,developer,11/07/2021,damaris.auautle@fstack.com.mx,2237257843,Puebla,Puebla
FS-14,Daniel,Diaz Ozuna,backend,developer,12/07/2022,daniel.diaz@fstack.com.mx,2238314022,Chiapas,San Cristobal de las Casas
FS-15,David Martï¿,Garcï¿½ï¿½ï¿½a,UX/UI,designer,13/07/2021,david.aalinas@fstack.com.mx,2239370201,Puebla,Puebla
FS-16,Diana,Rosas,frontend,developer,14/07/2021,diana.aosas@fstack.com.mx,2240426380,Puebla,Puebla
FS-17,Diego,Quintana Hernï¿½ï¿,backend,developer,15/07/2021,diego.aernandez@fstack.com,2241482559,Puebla,Puebla
FS-18,Eliuth,Leï¿,backend,developer,16/01/2022,eliuth.aelon@fstack.com,2242538738,Puebla,Puebla
FS-19,Enrique,Vergara,frontend,developer,17/07/2021,enrique.aergara@fstack.com.mx,2243594917,Puebla,Puebla
FS-20,Israel,Peï¿½ï¿½ï¿½a,backend,developer,18/07/2021,israel.aamirez@fstack.com,2244651096,Puebla,Puebla
FS-21,Jonathan ,Rodrï¿½ï¿,frontend,developer,19/07/2021,jonathan.aodriguez@fstack.com,2245707275,Puebla,Puebla
FS-22,Luis ,Dï¿½ï¿½ï¿½az,backend,developer,20/07/2025,luis.aavarro@fstack.com.mx,2246763454,Puebla,Puebla
FS-23,Maria,Alonso,project management,project management,21/04/2025,maria.alonso@fstack.com.mx,2247819633,Puebla,Puebla
